Event_name,Location,Depth,Magnitude
B100777G,-9.92 117.29,33.0,5.8
B100877A,-9.52 -74.66,129.0,5.5
B100877B,13.33 124.49,32.0,5.4
B100977A,-9.93 117.29,33.0,5.6
B100977B,-10.00 117.51,33.0,5.6
B100977C,-7.26 126.73,339.0,5.4
C101077A,-25.86 -175.41,33.0,6.6
B101277A,-11.17 119.38,33.0,5.6
B101377A,-54.52 144.72,33.0,5.3
B101377B,23.48 93.35,61.0,5.2
B101477B,-15.72 -173.05,33.0,5.9
B101477A,-15.37 167.41,125.0,5.7
B101677A,47.05 153.91,33.0,5.6
B101677B,-30.06 -176.85,20.0,5.2
B101677C,-9.73 117.12,33.0,5.6
B101777B,-0.95 126.89,70.0,5.6
D101777A,-27.91 173.08,33.0,6.3
B101877A,-18.04 -178.41,603.0,5.3
B101977B,-20.75 -173.96,33.0,5.3
B101977C,27.79 54.88,33.0,5.6
B101977A,22.61 121.61,158.0,5.5
B102077A,47.15 154.09,44.0,5.4
B102077B,56.43 164.13,40.0,5.2
B102277B,7.14 -72.92,169.0,5.3
C102277A,-27.95 -62.97,614.0,6.1
B102377A,-21.68 -179.40,592.0,5.0
B102377B,-21.49 170.30,89.0,5.6
B102477A,-63.49 172.19,33.0,5.1
B102577A,-9.69 117.22,33.0,5.6
B102677A,-15.57 -177.29,33.0,4.8
B102677B,-15.55 -177.40,41.0,5.0
B102677C,51.15 178.33,33.0,5.6
B102777A,-55.31 -128.97,33.0,5.1
B102977B,-6.39 154.70,72.0,5.5
B102977A,-6.22 146.64,106.0,5.9
B103077C,-10.21 118.73,33.0,5.7
B103077A,-20.42 -178.57,600.0,5.6
B103077B,-14.87 166.95,103.0,5.6
B110277A,-49.74 -116.30,33.0,5.0
B110277B,-10.08 -74.76,48.0,5.5
B110377A,42.11 23.97,6.0,5.2
C110477A,51.66 -175.95,33.0,5.7
B110477B,51.43 -175.56,33.0,5.4
B110577A,-10.11 161.00,70.0,5.6
B110577B,51.54 -175.55,33.0,5.3
B110677A,53.55 159.81,67.0,5.2
B110777A,15.28 144.98,256.0,5.4
B110777B,-7.15 156.09,75.0,5.7
B110877A,47.39 154.31,33.0,5.5
B111777A,-55.96 -27.86,127.0,5.6
B111777B,33.64 139.87,112.0,5.5
B111877A,32.69 88.39,33.0,5.7
B111877B,-4.35 102.02,33.0,5.5
B111977A,-56.03 -27.83,141.0,5.5
B112177B,29.27 -112.97,33.0,5.2
B112177C,-31.45 -179.89,324.0,5.2
B112177A,6.83 123.58,601.0,5.8
B112277A,-10.23 161.13,92.0,5.9
B112277B,39.45 -123.26,5.0,5.2
Z112377A,-31.03 -67.77,13.0,6.3
B112377B,52.20 -171.55,53.0,5.5
B112477A,-31.30 -67.63,33.0,5.7
B112677A,-17.96 -178.12,564.0,5.5
B112677B,-15.27 -174.40,133.0,5.3
B112677C,39.47 117.94,33.0,5.1
B112777B,11.80 125.47,33.0,5.5
B112777C,46.42 153.28,33.0,5.5
B112777D,-0.83 120.60,65.0,5.5
B112777A,-20.48 -178.43,558.0,5.6
B112777E,58.56 -155.38,116.0,4.9
B112777F,-41.55 -90.65,33.0,5.3
B112877A,36.05 27.76,85.0,5.6
B112877B,-31.68 -67.75,36.0,5.5
B112877C,-31.35 -67.43,16.0,5.7
B113077A,-20.61 -178.42,550.0,5.5
B120277A,-5.03 145.03,66.0,5.7
B120277B,52.93 159.71,15.0,5.8
B120377A,3.51 95.89,41.0,5.8
B120477A,-23.89 -176.08,56.0,5.6
B120577A,-23.92 -175.95,33.0,5.5
B120577B,-30.97 -67.70,32.0,5.4
B120677A,-31.17 -67.72,19.0,5.9
B120677B,-11.22 118.26,33.0,5.7
B120777A,-28.57 -67.39,124.0,5.4
B120777B,-19.89 -11.89,33.0,5.0
B120777C,13.64 144.61,136.0,5.4
B120877A,-24.15 -175.60,33.0,5.5
B120877B,-51.87 28.07,33.0,5.1
B120977A,-7.18 129.34,141.0,5.6
B121077A,27.69 56.57,47.0,5.1
B121077B,-31.19 -67.64,39.0,5.6
B121077C,47.59 152.84,128.0,5.2
B121177A,9.52 -69.56,18.0,5.6
Z121377A,17.36 -54.85,33.0,5.7
B121377B,-0.14 124.09,56.0,5.7
B121477B,-33.79 58.04,33.0,5.6
B121477C,10.00 125.29,223.0,5.3
B121477A,-21.10 -179.15,659.0,5.6
B121577A,-4.76 34.91,33.0,4.8
B121677A,36.62 140.99,46.0,5.6
B121777A,52.23 -170.10,44.0,5.0
B121777B,-21.05 -178.79,602.0,5.1
B121777C,52.21 -170.03,40.0,5.3
B121777D,13.13 50.94,33.0,5.0
B121877A,39.87 77.33,33.0,5.3
B121977A,51.19 -176.44,53.0,5.1
B121977B,30.95 56.47,31.0,5.4
B122077A,48.59 153.02,140.0,5.8
C122177A,25.51 143.11,33.0,6.2
B122177B,52.93 159.80,33.0,5.5
B122177C,-0.96 126.72,33.0,5.6
B122277A,29.55 127.81,33.0,5.5
B122277B,-34.42 55.30,33.0,5.7
B122377A,72.02 -0.50,10.0,4.8
B122377B,39.13 143.16,19.0,5.6
B122677A,2.51 126.83,36.0,5.5
B122777A,-17.97 -178.63,555.0,5.3
B122777B,60.39 -153.70,175.0,5.1
C122877A,16.66 40.28,33.0,5.9
B122877B,64.60 -17.29,10.0,5.0
B122977A,28.53 138.37,529.0,5.2
B123077B,-5.07 151.77,68.0,5.9
B123077A,40.00 15.42,283.0,5.6
C123177A,-15.30 -71.68,158.0,5.9
B010278B,41.54 44.24,10.0,5.3
B010278A,-38.14 -71.10,126.0,5.5
B010478A,85.74 -23.83,33.0,5.0
B010478B,9.51 -84.13,68.0,5.0
B010578A,-20.83 -126.91,33.0,5.5
B010678A,18.79 121.90,33.0,5.8
B010878A,-12.09 34.27,33.0,5.1
B011078A,46.83 152.27,61.0,5.6
B011178A,29.97 138.75,410.0,5.3
B011278A,-17.53 -172.12,23.0,5.2
B011378A,44.69 149.70,52.0,6.0
D011478B,34.81 139.26,14.0,6.2
B011478A,44.46 149.69,51.0,5.4
B011478C,1.67 126.42,45.0,5.5
